date,open,high,low,close,volume,trade_volume
20170223,4977,5018,4927,4943,62641,310
20170222,4960,5068,4876,4977,95168,473
20170221,4893,4977,4885,4935,32407,160
20170220,4968,5002,4876,4935,60575,299
20170217,4927,5002,4918,4952,29754,148
20170216,5002,5010,4910,4977,48988,243
20170215,4868,4985,4826,4977,92317,456
20170214,4768,4860,4760,4810,39665,190
20170213,4927,4927,4760,4793,93371,449
20170210,4943,4960,4843,4918,68737,336
20170209,4960,5010,4843,4927,57503,283
20170208,4977,5060,4901,4960,51467,255
20170207,4835,5060,4826,5010,164287,821
20170206,4801,4893,4801,4826,53665,259
20170203,4726,4818,4693,4810,177395,844
20170202,4835,4876,4726,4726,172425,829
20170201,4693,4835,4693,4768,203760,970
20170131,4734,4793,4676,4693,101784,480
20170126,4810,4810,4651,4743,261683,1232
20170125,4818,4910,4701,4810,111994,531
20170124,4843,4918,4768,4835,68467,329
20170123,4943,5010,4843,4843,126234,618
20170120,5169,5169,4993,4993,96820,488
20170119,5160,5277,5094,5152,48814,251
20170118,5135,5244,5094,5177,56299,290
20170117,5319,5352,5160,5177,79335,417
20170116,5361,5453,5286,5311,67904,364
20170113,5402,5402,5235,5361,61551,328
20170112,5227,5319,5202,5277,90976,477
20170111,5286,5411,5235,5269,109437,580
20170110,5344,5386,5227,5286,89892,476
20170109,5428,5461,5311,5386,119473,643
20170106,5494,5528,5344,5377,106862,577
20170105,5569,5578,5444,5494,121503,670
20170104,5528,5578,5402,5503,148455,812
20170103,5386,5544,5386,5528,113557,623
20170102,5436,5494,5344,5394,141066,763
20161229,5252,5553,5252,5469,311521,1694
20161228,5035,5361,5010,5319,505437,2654
20161227,5027,5094,4935,5010,108689,543
20161226,5035,5110,4977,5010,159455,802
20161223,4893,5127,4826,5035,424617,2124
20161222,4935,4993,4826,4876,295108,1445
20161221,4893,4968,4793,4868,122976,597
20161220,4893,4977,4843,4893,118108,579
20161219,4876,4927,4785,4835,99174,477
20161216,5043,5043,4910,4910,82790,408
20161215,4968,5052,4851,4927,215102,1060
20161214,5010,5052,4935,5018,108952,546
20161213,4960,4993,4876,4960,75629,374
20161212,4659,4860,4643,4860,105293,501
20161209,4501,4659,4476,4643,113719,519
20161208,4626,4659,4442,4467,213760,965
20161207,4709,4751,4384,4567,180509,817
20161206,4734,4826,4643,4693,93814,442
20161205,4860,4952,4643,4693,267503,1260
20161202,5085,5110,4893,4960,98072,486
20161201,5094,5094,4960,5035,88036,441
20161130,5060,5127,4952,5085,192796,967
20161129,4876,5094,4876,4927,119090,593
20161128,4993,5060,4893,4952,39958,198
20161125,4776,5018,4776,4960,121407,598
20161124,4826,4935,4785,4785,109539,531
20161123,5035,5344,4793,4876,210311,1037
20161122,5043,5169,4943,5035,79287,398
20161121,5119,5169,5035,5043,67958,344
20161118,5277,5277,5094,5194,87515,451
20161117,5244,5302,5144,5227,84641,440
20161116,5261,5361,5144,5311,73323,385
20161115,5419,5428,5152,5244,176802,925
20161114,5428,5511,5361,5419,71982,389
20161111,5269,5528,5210,5461,276090,1501
20161110,5286,5377,5144,5311,307198,1629
20161109,5327,5386,4634,5010,594772,2928
20161108,5185,5336,5102,5302,215623,1130
20161107,5035,5127,4960,5043,93940,473
20161104,4893,5052,4843,5027,97449,484
20161103,4776,5077,4776,4927,187401,928
20161102,5060,5135,4751,4826,261605,1282
20161101,5018,5194,4977,5052,308581,1570
20161031,5469,5469,5010,5052,399281,2054
20161028,5778,5837,5494,5503,160168,894
20161027,5603,5828,5603,5828,159557,913
20161026,5553,5711,5419,5586,228491,1268
20161025,5979,5987,5653,5678,239862,1380
20161024,6104,6104,5970,5979,154072,927
20161021,5837,6338,5812,6121,574743,3493
20161020,6037,6096,5862,5929,126263,752
20161019,5787,5995,5787,5987,97988,580
20161018,5770,5979,5745,5845,173641,1020
20161017,5912,5995,5653,5770,389629,2244
20161014,5995,6079,5820,5954,208904,1239
20161013,6246,6321,5962,5962,192868,1169
20161012,6212,6363,6212,6246,136359,855
20161011,6212,6346,6171,6296,142916,893
20161010,6129,6346,6096,6196,119305,745
20161007,6413,6480,6012,6129,330826,2069
20161006,6404,6496,6363,6413,182120,1170
20161005,6663,6680,6379,6404,549629,3558
20161004,6797,6855,6496,6655,500216,3334
20160930,7214,7214,6847,6972,627760,4399
20160929,7056,7223,6989,7131,386275,2755
20160928,6847,7072,6847,7014,193407,1349
20160927,6797,6931,6722,6822,236802,1615
20160926,7089,7164,6864,6914,245090,1718
20160923,6922,7139,6880,7098,374766,2640
20160922,6905,6931,6830,6922,165719,1140
20160921,7014,7047,6814,6830,248174,1710
20160920,6947,7098,6897,6939,201216,1399
20160919,7039,7081,6939,6947,156036,1090
20160913,7173,7173,6905,7064,222653,1566
20160912,6981,7214,6939,7039,339772,2409
20160909,6897,7148,6814,7106,358186,2519
20160908,6772,6947,6663,6805,359108,2438
20160907,6847,6847,6597,6772,190677,1281
20160906,6672,6847,6597,6772,180072,1217
20160905,6738,6872,6588,6680,219317,1477
20160902,6722,6747,6521,6705,294251,1942
20160901,6956,7315,6713,6738,666449,4600
20160831,6613,6730,6438,6597,247551,1634
20160830,6597,6730,6546,6638,295389,1958
20160829,6947,6947,6505,6513,622737,4147
20160826,6939,7256,6939,7014,534287,3784
20160825,7290,7340,6931,6964,491820,3478
20160824,7490,7498,7273,7290,185090,1356
20160823,7265,7482,7239,7465,191671,1417
20160822,7582,7582,7281,7290,291329,2141
20160819,7457,7590,7423,7540,197317,1479
20160818,7490,7565,7423,7457,157222,1176
20160817,7715,7715,7432,7457,372856,2801
20160816,7849,7882,7615,7715,228725,1764
20160812,8016,8083,7774,7874,375910,2971
20160811,8058,8066,7907,7991,298090,2380
20160810,7882,7999,7816,7999,405695,3214
20160809,7573,8049,7565,7849,935485,7373
20160808,7540,7632,7457,7565,249689,1879
20160805,7590,7682,7490,7490,330437,2507
20160804,7398,7624,7365,7565,309611,2323
20160803,7348,7490,7239,7323,443246,3266
20160802,7532,7590,7315,7340,443084,3274
20160801,7649,7707,7432,7515,352725,2671
20160729,7290,7724,7273,7649,582737,4403
20160728,7331,7381,7231,7273,365269,2666
20160727,7657,7690,7273,7273,810383,6024
20160726,7791,7866,7649,7657,409293,3150
20160725,7874,8016,7807,7824,437958,3455
20160722,7949,8049,7540,7832,775695,6036
20160721,7907,8066,7757,7941,802946,6372
20160720,7607,7882,7482,7791,717826,5579
20160719,7899,7899,7573,7607,404042,3106
20160718,7941,7941,7498,7849,558012,4308
20160715,8233,8300,7799,7849,666395,5325
20160714,8116,8275,7933,8150,718144,5831
20160713,8191,8292,8066,8133,1346036,10865
20160712,7665,8267,7590,8267,2204928,17611
20160711,7331,7548,7139,7548,987216,7251
20160708,7657,7657,7265,7265,937293,6961
20160707,7732,7907,7615,7657,852096,6623
20160706,7440,7674,7331,7640,1116497,8409
20160705,7348,7490,7139,7490,817713,5964
20160704,7365,7607,7223,7315,1130952,8395
